epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,6311.72,1.40972,0.74958,0.93118,0.86289,0.80912,0.88635,0.51159,1.35374,0.67216,0.9164,0.005842,0.005842,0.005842
44,6469.87,1.41693,0.75728,0.93086,0.87117,0.80559,0.88881,0.5167,1.34713,0.66911,0.91616,0.005743,0.005743,0.005743
45,6626,1.40212,0.745,0.93081,0.87956,0.80734,0.89103,0.51908,1.34376,0.66143,0.91705,0.005644,0.005644,0.005644
46,6784.2,1.40047,0.74851,0.93063,0.87229,0.81435,0.89227,0.51977,1.34,0.66063,0.91349,0.005545,0.005545,0.005545
47,6946.89,1.40142,0.74235,0.92931,0.87526,0.81228,0.8935,0.51955,1.33853,0.65732,0.91252,0.005446,0.005446,0.005446
48,7105.87,1.39392,0.73923,0.92682,0.88232,0.81702,0.89499,0.52292,1.33144,0.6513,0.91268,0.005347,0.005347,0.005347
49,7263.31,1.38794,0.73304,0.924,0.87458,0.82017,0.89573,0.52338,1.33107,0.65069,0.91241,0.005248,0.005248,0.005248
50,7420.91,1.38721,0.73741,0.92696,0.87416,0.81796,0.89606,0.52303,1.33022,0.65158,0.91176,0.005149,0.005149,0.005149
51,7583.15,1.38838,0.7334,0.92659,0.88193,0.81524,0.89474,0.52225,1.33038,0.64715,0.91179,0.00505,0.00505,0.00505
52,7740.68,1.38274,0.72484,0.92513,0.88343,0.81755,0.89696,0.52473,1.32574,0.64382,0.91086,0.004951,0.004951,0.004951
53,7896.46,1.37839,0.7217,0.92445,0.88449,0.81682,0.89757,0.52606,1.32327,0.64132,0.91065,0.004852,0.004852,0.004852
54,8051.51,1.37795,0.72126,0.92389,0.87938,0.81988,0.8998,0.52646,1.32156,0.64028,0.91016,0.004753,0.004753,0.004753
55,8209.26,1.36713,0.7166,0.92035,0.87921,0.82397,0.89983,0.5277,1.32086,0.63871,0.90932,0.004654,0.004654,0.004654
